depository_accession,depository_source,species
E-TABM-942,AE,
E-MEXP-525,AE,
E-MTAB-9027,AE,
E-GEOD-36626,AE,
E-GEOD-36631,AE,
E-MEXP-2358,AE,
E-MEXP-2187,AE,
GSE76015,GEO,
GSE169270,GEO,
GSE180818,GEO,
GSE180004,GEO,
GSE128820,GEO,
GSE99677,GEO,
GSE40940,GEO,
GSE10502,GEO,
GSE10501,GEO,
GSE10497,GEO,
GSE10496,GEO,
E-GEOD-16875,AE,
E-GEOD-40940,AE,
E-GEOD-10496,AE,
E-GEOD-10502,AE,
E-GEOD-10501,AE,
E-GEOD-10497,AE,
E-GEOD-7639,AE,
E-GEOD-71001,AE,
GSE188335,GEO,
GSE183312,GEO,
GSE145884,GEO,
GSE98047,GEO,
GSE98046,GEO,
GSE98045,GEO,
GSE82274,GEO,
GSE66266,GEO,
GSE58083,GEO,
GSE58082,GEO,
GSE57847,GEO,
GSE39236,GEO,
GSE41626,GEO,
GSE27861,GEO,
GSE26398,GEO,
E-GEOD-27861,AE,
GSE123170,GEO,
GSE123169,GEO,
GSE123123,GEO,
GSE47722,GEO,
GSE108987,GEO,
GSE67144,GEO,
GSE53642,GEO,
GSE38935,GEO,
GSE4022,GEO,
E-GEOD-4022,AE,
E-MEXP-3220,AE,
E-GEOD-53642,AE,
E-GEOD-38935,AE,
E-GEOD-15922,AE,
E-GEOD-24644,AE,
GSE204767,GEO,
GSE178645,GEO,
GSE161482,GEO,
GSE161332,GEO,
GSE157030,GEO,
GSE146778,GEO,
GSE123818,GEO,
GSE79755,GEO,
GSE79751,GEO,
GSE43964,GEO,
GSE36698,GEO,
GSE36656,GEO,
GSE26045,GEO,
GSE26044,GEO,
GSE26847,GEO,
GSE16557,GEO,
GSE16472,GEO,
GSE16471,GEO,
GSE8257,GEO,
GSE8248,GEO,
GSE7942,GEO,
GSE6148,GEO,
GSE3709,GEO,
E-MEXP-574,AE,
E-GEOD-36698,AE,
E-GEOD-37408,AE,
E-MEXP-475,AE,
E-MEXP-411,AE,
E-GEOD-8248,AE,
E-GEOD-36656,AE,
E-GEOD-6148,AE,
E-GEOD-3709,AE,
E-NASC-15,AE,
E-GEOD-8257,AE,
E-GEOD-43964,AE,
E-GEOD-26044,AE,
E-GEOD-16557,AE,
E-GEOD-26045,AE,
E-MTAB-1499,AE,
E-GEOD-16472,AE,
E-GEOD-5723,AE,
E-GEOD-16471,AE,
E-MEXP-1218,AE,
E-NASC-8,AE,
E-MEXP-1138,AE,
E-GEOD-26847,AE,
GSE27551,GEO,Arabidopsis thaliana
GSE27549,GEO,Arabidopsis thaliana
GSE27552,GEO,Arabidopsis thaliana
GSE20340,GEO,
GSE20339,GEO,
E-MEXP-254,AE,
